epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.10615,1.07757,2.23806,1.23798,0.58109,0.85,0.87817,0.63508,1.6425,1.06398,1.37457,0,0,0
2,3.88733,1.17881,2.86351,1.46711,0.57962,0.85,0.88493,0.63502,1.65145,1.05728,1.37887,1.17822e-06,1.17822e-06,1.17822e-06
3,5.66583,0.94381,2.31072,1.2257,0.58081,0.85,0.88608,0.65378,1.66767,1.05586,1.38659,2.33288e-06,2.33288e-06,2.33288e-06
4,7.44178,1.37807,2.24493,1.7481,0.58812,0.85,0.87269,0.65231,1.65584,1.04373,1.37934,3.46397e-06,3.46397e-06,3.46397e-06
5,9.21431,1.36016,2.93559,1.82317,0.59293,0.85,0.85519,0.65258,1.64033,1.03577,1.36227,4.5715e-06,4.5715e-06,4.5715e-06
6,10.9781,0.97336,2.80206,1.4432,0.58297,0.85,0.85572,0.63614,1.62881,1.04031,1.35243,5.65548e-06,5.65548e-06,5.65548e-06
7,12.7237,1.23863,2.57462,1.51294,0.57626,0.85,0.8567,0.63587,1.63047,1.0436,1.35371,6.71588e-06,6.71588e-06,6.71588e-06
8,14.5038,1.32538,2.43232,1.46864,0.57834,0.85276,0.85748,0.62963,1.62121,1.03903,1.34884,7.75273e-06,7.75273e-06,7.75273e-06
9,16.2684,1.38826,2.81866,1.54152,0.60727,0.85406,0.82107,0.61129,1.59975,1.02744,1.33656,8.76602e-06,8.76602e-06,8.76602e-06
10,18.018,1.0222,1.97696,1.35363,0.58859,0.86637,0.81902,0.61233,1.59747,1.03098,1.33421,9.75574e-06,9.75574e-06,9.75574e-06
11,19.9491,1.33651,3.84248,1.77149,0.57872,0.86667,0.83078,0.61344,1.59863,1.04106,1.33361,1.07219e-05,1.07219e-05,1.07219e-05
12,21.7083,1.0127,2.38366,1.43185,0.57566,0.86667,0.81727,0.61314,1.60423,1.04855,1.33555,1.16645e-05,1.16645e-05,1.16645e-05
13,23.4021,1.23318,2.49283,1.48683,0.5777,0.86667,0.81718,0.61201,1.59697,1.05257,1.33222,1.25835e-05,1.25835e-05,1.25835e-05
14,25.1029,1.11032,1.82482,1.58178,0.58907,0.86667,0.85725,0.63985,1.57921,1.059,1.32018,1.3479e-05,1.3479e-05,1.3479e-05
15,26.8341,1.11881,2.09949,1.39328,0.57457,0.86667,0.8943,0.64721,1.58307,1.0675,1.32296,1.43509e-05,1.43509e-05,1.43509e-05
16,28.5648,1.00933,2.61179,1.48942,0.59153,0.86667,0.88778,0.64913,1.58397,1.07437,1.32392,1.51993e-05,1.51993e-05,1.51993e-05
17,30.2852,0.88058,2.24848,1.36512,0.59104,0.86667,0.88781,0.64921,1.59039,1.08693,1.32795,1.60241e-05,1.60241e-05,1.60241e-05
18,31.9486,1.03166,1.82148,1.34398,0.59104,0.86667,0.88781,0.64921,1.59039,1.08693,1.32795,1.68253e-05,1.68253e-05,1.68253e-05
19,33.6631,0.91046,2.13311,1.29519,0.84471,0.65,0.87144,0.64424,1.60529,1.11548,1.33899,1.7603e-05,1.7603e-05,1.7603e-05
